"trialType","whichPrime","rt","response","trial_index","time_elapsed","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"iat","","1173","f","247","372603","psychiatry","treatment","treatment or stigmatizing","treatment or stigmatizing","disorders or humanizing","true",""
"iat","","1703","j","249","374569","difficult","humanizing","disorders or humanizing","treatment or stigmatizing","disorders or humanizing","true",""
"iat","","766","j","251","375593","human","humanizing","disorders or humanizing","treatment or stigmatizing","disorders or humanizing","true",""
"iat","","1070","f","253","376927","sane","humanizing","disorders or humanizing","treatment or stigmatizing","disorders or humanizing","false",""
"iat","","1941","f","255","379134","support group","treatment","treatment or stigmatizing","treatment or stigmatizing","disorders or humanizing","true",""
"iat","","1145","j","257","380532","realistic","humanizing","disorders or humanizing","treatment or stigmatizing","disorders or humanizing","true",""
"iat","","786","j","259","381576","feeling","humanizing","disorders or humanizing","treatment or stigmatizing","disorders or humanizing","true",""
"iat","","1175","j","261","383006","schizophrenia","disorders","disorders or humanizing","treatment or stigmatizing","disorders or humanizing","true",""
"iat","","1199","f","263","384464","CAMHS","treatment","treatment or stigmatizing","treatment or stigmatizing","disorders or humanizing","true",""
"iat","","2319","j","265","387037","anxiety","disorders","disorders or humanizing","treatment or stigmatizing","disorders or humanizing","true",""
"iat","","1364","f","267","388664","SHARE counselors","treatment","treatment or stigmatizing","treatment or stigmatizing","disorders or humanizing","true",""
"iat","","836","f","269","389753","tutors","treatment","treatment or stigmatizing","treatment or stigmatizing","disorders or humanizing","true",""
"iat","","2360","j","271","392367","capable","humanizing","disorders or humanizing","treatment or stigmatizing","disorders or humanizing","true",""
"iat","","963","j","273","393597","personality disorder","disorders","disorders or humanizing","treatment or stigmatizing","disorders or humanizing","true",""
"iat","","659","j","275","394517","depression","disorders","disorders or humanizing","treatment or stigmatizing","disorders or humanizing","true",""
"iat","","1288","f","277","396062","unstable","stigmatizing","treatment or stigmatizing","treatment or stigmatizing","disorders or humanizing","true",""
"iat","","1584","j","279","397911","challenging","humanizing","disorders or humanizing","treatment or stigmatizing","disorders or humanizing","true",""
"iat","","1722","f","281","399896","counseling","treatment","treatment or stigmatizing","treatment or stigmatizing","disorders or humanizing","true",""
"iat","","1108","f","283","401272","dangerous","stigmatizing","treatment or stigmatizing","treatment or stigmatizing","disorders or humanizing","true",""
"iat","","1811","j","285","403344","reasonable","humanizing","disorders or humanizing","treatment or stigmatizing","disorders or humanizing","true",""
"iat","","1191","f","287","404802","resident deans","treatment","treatment or stigmatizing","treatment or stigmatizing","disorders or humanizing","true",""
"iat","","998","f","289","406064","crazy","stigmatizing","treatment or stigmatizing","treatment or stigmatizing","disorders or humanizing","true",""
"iat","","1533","j","291","407854","post traumatic stress disorder","disorders","disorders or humanizing","treatment or stigmatizing","disorders or humanizing","true",""
"iat","","1001","j","293","409113","obsessive compulsive disorder","disorders","disorders or humanizing","treatment or stigmatizing","disorders or humanizing","true",""
"questionnaire","","73925","{""Q6"":4,""Q8"":4,""Q0"":1,""Q1"":2,""Q5"":4,""Q7"":4,""Q4"":1,""Q9"":4,""Q2"":1,""Q3"":2}","295","483300","","","","","","","[6,8,0,1,5,7,4,9,2,3]"
